service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"MF11-21-742-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-21-745-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-21-753-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-21-754-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-21-755-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-21-757-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-21-758-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-21-765-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-22-663-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-22-690-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-22-693-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-22-694-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-22-695-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-22-696-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-27-786-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-27-787-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-27-788-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-27-887-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-28-833-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-29-663-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-664-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-670-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-671-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-672-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-675-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-677-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-679-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-680-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-689-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-690-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-691-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-693-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-694-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-695-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-697-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-732-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-734-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-738-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-742-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-29-765-aus","0","0","0","1","1","0","0","20260122","20260426"
"MF11-33-200-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-33-207-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-33-250-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-33-251-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-33-350-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-33-901-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-33-902-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-35-215-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-35-216-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-35-220-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-35-223-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-35-232-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-35-234-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-35-235-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-35-236-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-35-237-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-35-426-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-35-429-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-35-903-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-503-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-504-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-505-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-506-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-508-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-509-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-510-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-512-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-546-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-552-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-553-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-558-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-567-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-37-609-aus","0","1","0","0","0","0","0","20260122","20260426"
"MF11-42-357-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-42-386-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-49-605-aus","1","0","1","1","0","0","0","20260122","20260426"
"MF11-49-624-aus","1","0","1","1","0","0","0","20260122","20260426"
"MF11-53-420-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-53-427-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-53-428-aus","0","0","0","0","1","0","0","20260122","20260426"
"MF11-53-471-aus","0","0","1","1","0","0","0","20260122","20260426"
"MF11-64-L01-aus","1","1","1","1","0","0","0","20260122","20260426"
"MF11-64-L12-aus","0","0","0","0","1","0","0","20260122","20260426"
